centroid_x,centroid_y,area,mean_red_intensity,aspect_ratio,cluster
46.53333333333333,54.6,30.0,204.0,1.2857142857142858,2
53.5,52.0,2.0,204.0,2.0,2
57.142857142857146,54.0,7.0,203.85714285714286,0.6,2
61.333333333333336,53.5,6.0,204.0,0.5,2
63.4,55.8,10.0,204.0,0.5714285714285714,2
69.93939393939394,55.09090909090909,33.0,203.9090909090909,1.2857142857142858,2
53.5,55.0,2.0,204.0,2.0,2
53.5,58.0,2.0,204.0,2.0,2
58.0,58.0,1.0,203.0,1.0,2
44.0,66.0,3.0,203.0,0.3333333333333333,2
59.0,65.66666666666667,3.0,202.0,1.5,2
63.0,65.0,1.0,202.0,1.0,2
70.5,65.5,2.0,202.0,1.0,2
47.5,66.0,4.0,202.75,4.0,2
52.0,66.0,1.0,203.0,1.0,2
55.0,66.0,1.0,204.0,1.0,2
